FEEDERID,FEEDER
107,BELIZE TECHNICAL COLLEGE
164, UNIVERSITY OF BELIZE
104,BELMOPAN COMPREHENSIVE SCHOOL
148,ST. JOHN'S COLLEGE
116,COROZAL COMMUNITY COLLEGE
143,SACRED HEART JUNIOR COLLEGE
93,ANGLICAN CATHEDRAL COLLEGE
155, STANN CREEK ECUMENICAL HIGH SC
152,ST. JOHN'S COLLEGE JUNIOR COLLEGE
165,*UNKNOWN
700,UNKNOWN
134,MUFFLES COLLEGE
156,STANN CREEK ECUMENICAL JR. COLLEGE
128,KING'S COLLEGE
117,COROZAL JUNIOR COLLEGE
142,SACRED HEART COLLEGE
120,EDWARD P. YORKE
126,INDEPENDENCE HIGH SCHOOL
166,*WESLEY COLLEGE
121,ESCUELA MEXICO
158,TOLEDO COMMUNITY COLLEGE
98,BELIZE CHRISTIAN ACADEMY
132,MOPAN TECHNICAL HIGH SCHOOL
135,MUFFLES JUNIOR COLLEGE
119,EDEN SDA HIGH
169,INDEPENDENCE JUNIOR COLLEGE
127,JULIAN CHO TECHNICAL HIGH
123,FOREIGN
101,BELMOPAN BAPTIST HIGH SCHOOL
105,BELIZE COLLEGE OF AGRICULTURE
133,MOUNT CARMEL HIGH SCHOOL
138,ORANGE WALK TECHNICAL
111,CANAAN SDA HIGH SCHOOL
176,MAUD WILLIAMS HIGHSCHOOL
91,ADULT & CONTINUING EDUCATION
125,GWEN LIZARRAGA
108,BELIZE ADVENTIST COLLEGE
129,LADYVILLE TECHNICAL HIGH
136,NAZARENE HIGH SCHOOL
140,PALLOTTI HIGH SCHOOL
94,AUSTIN HIGH SCH
139,OUR LADY OF GUADALUPE HIGH SCH
149,ST. CATHERINE ACADEMY
96,BELIZE ADVENTIST JUNIOR COLLEGE
99,BELIZE COMMUNITY HIGH SCHOOL
109,BELIZE RURAL HIGH SCHOOL
100,BELMOPAN BAPTIST ACE
118,DELILLE ACADEMY
151,ST. JOHN'S COLLEGE EXTENSION
146,SAN PEDRO HIGH SCHOOL
170, WESTERN CHRISTIAN ACADEMY
150,ST. IGNATIUS HIGH SCHOOL
145,SAN JUAN BAUTISTA HIGH SCHOOL
157,BELIZE TEACHERS' COLLEGE
147,SAN PEDRO JUNIOR COLLEGE
179,NEW SCHOOL
137,NEW HOPE HIGH SCHOOL
174,CAYO CHRISTIAN ACADEMY
144,SADIE VERNON TECHNICAL HIGH SC
190,ST. PETER CLAVER EXTENSION
122,EXCELSIOR HIGH
141,ROSE GLEN CHRISTIAN SCHOOL
180,AYOUNG NAZARENE HIGH SCHOOL
191,BELIZE HIGH SCHOOL
167, WESLEY JUNIOR COLLEGE
172,ESCUELA MEXICO JR COLLEGE
124,GEORGETOWN TECHNICAL H.S.
184,CORAZON CREEK TECHNICAL HIGH
185,OCEAN ACADEMY
175,VOP - SDA ACADEMY
197,BELMOPAN METHODIST HIGH SCHOOL
193,PROVIDENCE SDA HIGH SCHOOL
196,ST. IGNATIUS HIGH SCHOOL EVENING DIVISION
202,JIREH HIGH SCHOOL
163,UNIVERSITY OF THE WEST INDIES
103,BISHOP MARTIN HIGH SCHOOL
187,SARTENEJA BAPTIST HIGH SCHOOL
195,GWEN LIZARRAGA EVENING DIVISION
198,JOHN PAUL II JUNIOR COLLEGE
194,LINDA VISTA HIGH SCHOOL
